epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,11427.6,1.08366,0.65144,1.02405,0.79947,0.62154,0.68969,0.41021,1.21147,0.71848,1.08863,0.000112323,0.000112323,0.000112323
86,11561.7,1.09046,0.65907,1.02614,0.78604,0.6327,0.68954,0.4071,1.20726,0.7147,1.08564,0.00010572,0.00010572,0.00010572
87,11695.4,1.08192,0.65252,1.02203,0.78254,0.6227,0.68815,0.41261,1.21334,0.71556,1.08802,9.91162e-05,9.91162e-05,9.91162e-05
88,11828.8,1.0733,0.64653,1.02286,0.81839,0.60992,0.69019,0.41396,1.20939,0.71812,1.08822,9.25129e-05,9.25129e-05,9.25129e-05
89,11963,1.07218,0.64742,1.01569,0.79719,0.62202,0.69047,0.41505,1.20455,0.71458,1.08472,8.59096e-05,8.59096e-05,8.59096e-05
90,12098.2,1.06479,0.63976,1.01454,0.79813,0.62464,0.68986,0.41143,1.2046,0.71458,1.08803,7.93063e-05,7.93063e-05,7.93063e-05
91,12231.9,1.0332,0.5951,1.0033,0.77391,0.62413,0.6904,0.41143,1.20956,0.71786,1.08905,7.2703e-05,7.2703e-05,7.2703e-05
92,12362.6,1.02562,0.58762,1.0028,0.80447,0.62112,0.69215,0.41186,1.20722,0.71672,1.08573,6.60997e-05,6.60997e-05,6.60997e-05
93,12493.2,1.01304,0.58328,0.99427,0.77388,0.62842,0.68992,0.41137,1.20719,0.72075,1.08673,5.94964e-05,5.94964e-05,5.94964e-05
94,12623.2,1.01115,0.58161,0.99557,0.77944,0.63163,0.69127,0.41052,1.20789,0.72035,1.08781,5.28931e-05,5.28931e-05,5.28931e-05
95,12753,1.00934,0.5782,0.99586,0.79067,0.62936,0.69096,0.41385,1.20684,0.72046,1.08719,4.62898e-05,4.62898e-05,4.62898e-05
96,12885.2,1.00218,0.5733,0.98998,0.79817,0.62055,0.6915,0.40949,1.20994,0.72173,1.0877,3.96865e-05,3.96865e-05,3.96865e-05
97,13017.6,1.00166,0.57195,0.99121,0.79617,0.62634,0.69426,0.41278,1.20845,0.71469,1.087,3.30832e-05,3.30832e-05,3.30832e-05
98,13152,0.99544,0.57024,0.98866,0.81044,0.61793,0.69132,0.41263,1.21068,0.71789,1.08743,2.64799e-05,2.64799e-05,2.64799e-05
99,13284.8,0.99068,0.56904,0.98635,0.8049,0.61296,0.69147,0.41253,1.20833,0.71927,1.08635,1.98766e-05,1.98766e-05,1.98766e-05
100,13419.9,0.988,0.56499,0.98557,0.78165,0.62509,0.68919,0.41277,1.20947,0.7197,1.08723,1.32733e-05,1.32733e-05,1.32733e-05
